,Lyric,genre
0,thought id end sean wasnt match wrote songs ricky listen laugh even almost got married pete im thankful wish could say thank malcolm cause angel pre one taught love one taught patience one taught pain im amazing say ive loved ive lost thats see look got look taught say thank next next thank next next thank next im fuckin grateful ex thank next next thank next next thank next next im fuckin spend time friends aint worried bout nothin plus met someone else havin better discussions know say move fast one gon last cause name ari im good good pre taught love love taught patience patience handles pain pain shits amazing yeah shes amazing ive loved ive lost yeah yeah thats see yeah yeah cause look ive found yeah yeah aint need searching say thank next thank next thank next thank next thank next thank im fuckin grateful ex thank next thank next thank next said thank next thank next next im fuckin grateful ex post thank next thank next thank next im fuckin one day ill walk aisle holding hands mama ill thanking dad cause grew drama wanna real bad gon make shit last god forbid something happens least song smash song smash pre ive got much love love got much patience patience ive learned pain pain turned amazing turned amazing say ive loved ive lost yeah yeah thats see yeah yeah cause look ive found yeah yeah aint need searching say thank next thank next thank next thank next thank next im fuckin grateful ex thank next thank next thank next said thank next thank next next im fuckin grateful ex post thank next thank next thank next yeah yee thank next thank next thank next yeah yee,pop
1,yeah breakfast tiffanys bottles bubbles girls tattoos like getting trouble lashes diamonds atm machines buy favorite things yeah bad shit sad bitch woulda thought itd turn savage rather tied calls strings write checks like write sing yeah yeah pre wrist stop watchin neck flossy make big deposits gloss poppin like hair gee thanks bought see like want got yeah want got want got want got want got like hair gee thanks bought see like want got yep wearing ring aint gon mrs bought matching diamonds six bitches id rather spoil friends riches think retail therapy new addiction whoever said money cant solve problems must enough money solve em say one say nah want em happiness price redbottoms pre smile beamin yeah skin gleamin gleamin way shine know youve seen youve seen bought crib closet closet want got yeah want got want got want got want got baby like hair gee thanks bought oh yeah see like want got yep yeah receipts lookin like phone numbers aint money wrong number black card business card way settin tone dont mean brag like put bag yeah see racks stacked like ass yeah shoot go store booth make back one loop gimme loot never mind got juice nothing net shoot look neck look jet aint got enough money pay respect aint budget im set like thats get yeah want got want got oh yeah want got want got oh yeah yeah like hair gee thanks bought see like want got see yep,pop
2,love move love touch one said done youll believe god woman feel midnight feelin cant fight one lingers done youll believe god woman dont wanna waste time yeah aint got onetrack mind yeah way like yeah tell know know want aint nobody else relate boy like aint afraid baby lay lets pray im tellin way like want pre yeah things told yeah try come keep flourishing yeah see uniwhen im company love move love touch one said done youll believe god woman feel midnight feelin cant fight one lingers done youll believe god woman yeah tell things know baby take hands save soul make last take slow hmm tell know know want yeah youre different rest boy confess might get blessed see deserve comes next im tellin way like want pre yeah things told yeah try come keep flourishing yeah see uniwhen im company love move love touch one said done youll believe god woman feel midnight feelin cant fight one lingers done youll believe god woman yeah yeah god woman yeah yeah god woman yeah one one said done youll believe god woman youll believe god god woman oh yeah god woman yeah one lingers done youll believe god woman,pop
3,ariana grande nicki minaj ive night ariana ive day nicki minaj boy got walkin side side let hoes know ariana grande im talkin ya see standing body feeling like wanna rock body dont gotta think bout nothin bout nothin im comin ya cause know got bad reputation doesnt matter cause give temptation dont gotta think bout nothin bout nothin pre ariana grande friends keep talkin way much say give cant hear cause ariana grande ive night ive day boy got walkin side side ive night ive day boy got walkin side side side side ariana grande tryna hide baby whats gonna hurt dont know makin everybody think long know got got boy got ya cause tonight im making deals devil know gonna get trouble long know got pre ariana grande friends keep talkin way much say give cant hear cause ariana grande ive night ive day boy got walkin side side side side ive night night baby ive day day baby boy got walkin side side side side refrain nicki minaj uh yeah new style fresh type flow wrist icicle ride dick bicycle come yo get type blow want ménage got tricycle nicki minaj bitches flows minime body smoking call young nicki chimney rappers feelings cause feelin uh ii give zero fucks got zero chill kissing copped blue box say tiffany curry shot tell em call stephanie gun pop make gum pop im queen rap young ariana run pop uh pre ariana grande friends keep talkin way much way much say give em give em cant hear cause ariana grande ive night night baby ive day night baby boy boy got walkin side side side side ive night night baby ive day day baby ooh baby boy got walkin side side side side yeaheh yeah yeah yeah refrain nicki minaj ariana grande new style fresh type flow nah nah baby wrist icicle ride dick bicycle come yo get type blow want ménage got tricycle eh hey eh eh,pop
4,right im state mind wanna like time aint got tears left cry im pickin pickin im lovin im livin im pickin im pickin pickin yeah im lovin im livin im pickin oh yeah refrain im pickin yeah pickin yeah lovin im livin turnin yeah turnin aint got tears body ran boy like like like dont matter tries vibin vibin vibin pre comin even rainin cant stop cant stop shut mouth shut mouth dont know know babe know babe yeah right im state mind wanna like time aint got tears left cry im pickin pickin oh yeah im lovin im livin im pickin oh want come another mentality aint got tears left cry cry im pickin pickin oh yeah im lovin im livin im pickin refrain pickin yeah pickin yeah lovin im livin turnin turnin yeah turnin point colors see em boy like em like em like em way fly partake hate vibin vibin vibin pre comin even rainin cant stop cant stop shut mouth shut mouth dont know know babe know babe yeah right im state mind wanna like time aint got tears left cry im pickin pickin oh yeah im lovin im livin im pickin oh want come another mentality aint got tears left cry cry im pickin pickin oh yeah im lovin im livin im pickin comin even rainin cant stop hmm oh shut mouth aint got tears left cry ohyeah oh yeah oh want come another mentality aint got tears left cry cry im pickin yeah pickin oh yeah im lovin im livin im pickin refrain pickin pickin lovin im livin turnin hmm yeah turnin,pop
5,lacigam gnihtemos od ot thgin laiceps ruoy sthginot tub days things take way much energy look whole rooms spinning take cares away overcomplicate people tell medicate pre feel blood runnin swear skys fallin know shits fabricated mmm time goes cant control mind dont know else try tell every time keep breathin breathin breathin breathin oh gotta keep keep breathin keep breathin breathin breathin breathin oh gotta keep keep breathin mmmmmm sometimes hard find find way clouds tune loud remind time things werent complicated need see face pre feel blood runnin swear skys fallin know shits fabricated mmm time goes cant control mind dont know else try tell every time keep breathin breathin breathin breathin oh gotta keep keep breathin keep breathin breathin breathin breathin oh gotta keep keep breathin mmm yeah air air air air air air air yeah keep breathin breathin breathin breathin oh gotta keep keep breathin keep breathin breathin breathin breathin oh gotta keep keep breathin mmm yeah feel blood runnin swear skys fallin oh whoa keep breathin oh yeah time goes cant control mind keep breathin mmm yeah,pop
6,got type way hmm aint used feelin way mmmmmm know say yeah yeah know shouldnt think took one fuckin look face hmm wanna know taste mmmmmm usually dont give away yeah yeah know im thinkin bout pre realize shes right im home like damn aint fair break girlfriend girlfriend yeah yeah cause im bored could hit mornin mornin yeah yeah like know aint right dont care care break girlfriend girlfriend yeah yeah cause im bored shit always happen yeah cant play keeps mmmmmm practically knees yeah yeah know shouldnt think know youre doin youre singin songs streets yeah yeah actin innocent please know thinkin bout pre realize shes right yeah youre home like damn cant compare break girlfriend girlfriend yeah yeah cause im bored could hit mornin mornin yeah yeah like know aint right dont care dont care yee break girlfriend girlfriend yeah yeah cause im bored post girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend could say im hatin want hate cause want say im trippin feel like without aint right aint right could call crazy cause want never even ever fuckin met say im trippin aint right without aint nice aint nice yeah break girlfriend girlfriend yeah yeah cause im bored could hit mornin hit mornin yeah yeah yeah yeah yeah like know aint right dont care care yeah break girlfriend girlfriend yeah yeah cause im bored post girlfriend girlfriend girlfriend baby girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend,pop
7,heaven sent im hopin dont repeat history pre boy im tryna meet mama sunday make lotta love monday ah ah never need one else babe cause ill switchin positions cookin kitchen im bedroom im olympics way im jumpin hoops know love infinite nothin wouldnt wont switchin perfect perfect youre good true youre good true get tired runnin fuck im runnin pre said boy im tryna meet mama sunday make lotta love monday ah ah never need onе else babe causе ill switchin positions cookin kitchen im bedroom im olympics way im jumpin hoops know love infinite nothin wouldnt wont switchin cookin kitchen im bedroom im olympics way im jumpin hoops know love infinite nothin wouldnt nothin wont switchin shit usually dont yeah kinda kinda want mmm cause youre im im yeah im switchin positions shit yeah usually dont dont kinda kinda want mmm cause youre im cause youre switchin positions cookin kitchen im bedroom im olympics way im jumpin hoops jumpin jumpin know love infinite nothin wouldnt wont switchin ooh woah cookin kitchen im bedroom im olympics way im jumpin hoops know love infinite nothin wouldnt wouldnt wont switchin yeah ah yeah ah ah yeah,pop
8,hmm might think im crazy way ive cravin put quite plainly gimme babies doin tonight better say doin right yeah watchin movies aint seen thing tonight yeah pre dont wanna keep show keep cause ill keep shit maybe ima keep boy ive drinkin coffee ive drinkin coffee coffee ive eatin healthy ive eatin healthy healthy know keep squeaky yeah know keep squeaky savin energy yeah yeah savin energy stay night fuck til daylight thirtyfour thirtyfive yeah yeah yeah yeah stay night night fuck mе til daylight thirtyfour thirtyfive yeah yеah yeah yeah drink like water water say tastes like candy doin tonight tonight better say doin right alright watchin movies aint seen thing tonight yeah pre dont wanna keep show keep cause ill keep shit maybe ima keep boy ive drinkin coffee said ive drinkin coffee coffee ive eatin healthy ive eatin healthy healthy know keep squeaky yeah except wine babe savin energy yeah yeah yeah stay night night fuck til daylight daylight thirtyfour thirtyfive thirtyfive yeah yeah yeah yeah stay night stay fuck til daylight stay thirtyfour thirtyfive yeah yeah yeah yeah oh yeah yeah baby might need seatbelt ride ima leave open like door come inside even though im wifey hit like side chick dont need side dick got neighbors yellin earthquake earthquake 45 make bed shake put heavy even though lightweight lightweight yeah yeah yeah babe yeah started midnight go til sunrise sunrise done time yeah whos counting time got life got life know favorite spots favorite spots take top top dream come true true make bitch wanna hit snooze ooh stay night fuck til daylight yeah yeah thirtyfour thirtyfive yeah yeah yeah yeah thirtyfour thirtyfive stay night know means fuck til daylight know means thirtyfour thirtyfive yeah yeah yeah yeah yeah yeah yeah means wanna 69 shit math class never good,pop
9,step two us nobody knows us get car like skrrt staying night order pad thai gon sleep til noon makeup bathtub bubbles bubbly ooh pleasure feel like never act regular pre click click click post dripdripdripped gold quick quick quick lets go kiss take clothes imagine world like imagine world like go like til im sleep chest love face fits good neck cant imagine world like imagine world knew perfect first kiss took deep breath like ooh feels like forever baby never thought would tell secrets creep shit thats know true baby direct name credits like movies pre click click click post dripdripdripped gold quick quick quick lets go kiss take clothes imagine world like imagine world like go like til im sleep chest love face fits good neck cant imagine world like imagine world imagine imagine imagine imagine imagine imagine imagine imagine imagine imagine ooh imagine imagine imagine imagine imagine imagine imagine imagine imagine imagine imagine imagine,pop
